"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId","team","teamnat"
24322,1015,8,51,"7",14,"17","17",17,0,77,"\N","\N","50","14","1:16.436","157.166",11,"Alfa Romeo","Swiss"
24323,1015,9,3,"88",20,"18","18",18,0,77,"\N","\N","32","19","1:17.388","155.233",11,"Williams","British"
24324,1015,841,51,"99",18,"19","19",19,0,76,"\N","\N","46","11","1:16.299","157.448",12,"Alfa Romeo","Swiss"
24325,1015,844,6,"16",15,"\N","R",20,0,16,"\N","\N","6","20","1:19.151","151.775",4,"Ferrari","Italian"
24326,1016,1,131,"44",2,"1","1",1,25,70,"1:29:07.084","5347084","62","4","1:14.813","209.851",1,"Mercedes","German"
24327,1016,20,6,"5",1,"2","2",2,18,70,"+3.658","5350742","57","5","1:14.875","209.677",1,"Ferrari","Italian"
24328,1016,844,6,"16",3,"3","3",3,15,70,"+4.696","5351780","63","2","1:14.356","211.140",1,"Ferrari","Italian"
24329,1016,822,131,"77",6,"4","4",4,13,70,"+51.043","5398127","69","1","1:13.078","214.833",1,"Mercedes","German"
24330,1016,830,9,"33",9,"5","5",5,10,70,"+57.655","5404739","67","3","1:14.767","209.980",1,"Red Bull","Austrian"
24333,1016,842,9,"10",5,"8","8",8,4,69,"\N","\N","51","10","1:16.157","206.147",11,"Red Bull","Austrian"
24336,1016,832,1,"55",11,"11","11",11,0,69,"\N","\N","37","15","1:16.471","205.301",11,"McLaren","British"
24338,1016,841,51,"99",12,"13","13",13,0,69,"\N","\N","69","14","1:16.365","205.586",11,"Alfa Romeo","Swiss"
24339,1016,154,210,"8",14,"14","14",14,0,69,"\N","\N","60","12","1:16.245","205.909",11,"Haas F1 Team","American"
24340,1016,8,51,"7",16,"15","15",15,0,69,"\N","\N","60","6","1:15.442","208.101",11,"Alfa Romeo","Swiss"
24341,1016,847,3,"63",18,"16","16",16,0,68,"\N","\N","58","17","1:17.241","203.254",12,"Williams","British"
24342,1016,825,210,"20",0,"17","17",17,0,68,"\N","\N","41","19","1:17.309","203.075",12,"Haas F1 Team","American"
24343,1016,9,3,"88",19,"18","18",18,0,67,"\N","\N","64","18","1:17.285","203.139",13,"Williams","British"
24345,1016,846,1,"4",8,"\N","R",20,0,8,"\N","\N","4","20","1:18.023","201.217",22,"McLaren","British"
24346,1017,1,131,"44",1,"1","1",1,25,53,"1:24:31.198","5071198","53","2","1:32.764","226.717",1,"Mercedes","German"
24347,1017,822,131,"77",2,"2","2",2,18,53,"+18.056","5089254","43","3","1:33.586","224.725",1,"Mercedes","German"
24348,1017,844,6,"16",3,"3","3",3,15,53,"+18.985","5090183","40","4","1:33.828","224.146",1,"Ferrari","Italian"
24349,1017,830,9,"33",4,"4","4",4,12,53,"+34.905","5106103","38","5","1:34.162","223.351",1,"Red Bull","Austrian"
24350,1017,20,6,"5",7,"5","5",5,11,53,"+1:02.796","5133994","53","1","1:32.740","226.775",1,"Ferrari","Italian"
24351,1017,832,1,"55",6,"6","6",6,8,53,"+1:35.462","5166660","52","6","1:34.561","222.408",1,"McLaren","British"
24352,1017,8,51,"7",12,"7","7",7,6,52,"\N","\N","47","8","1:34.873","221.677",11,"Alfa Romeo","Swiss"
24354,1017,846,1,"4",5,"9","9",9,2,52,"\N","\N","45","7","1:34.754","221.955",11,"McLaren","British"
24355,1017,842,9,"10",9,"10","10",10,1,52,"\N","\N","47","15","1:35.197","220.922",11,"Red Bull","Austrian"
24361,1017,841,51,"99",10,"16","16",16,0,52,"\N","\N","50","13","1:35.115","221.113",11,"Alfa Romeo","Swiss"
24362,1017,825,210,"20",15,"17","17",17,0,52,"\N","\N","50","18","1:35.692","219.780",11,"Haas F1 Team","American"
24363,1017,9,3,"88",18,"18","18",18,0,51,"\N","\N","50","20","1:36.608","217.696",12,"Williams","British"
24364,1017,847,3,"63",20,"19","19",19,0,51,"\N","\N","51","19","1:35.830","219.463",12,"Williams","British"
24365,1017,154,210,"8",16,"20","20",20,0,44,"\N","\N","42","17","1:35.691","219.782",31,"Haas F1 Team","American"
24366,1018,830,9,"33",2,"1","1",1,26,71,"1:22:01.822","4921822","60","1","1:07.475","230.378",1,"Red Bull","Austrian"
24367,1018,844,6,"16",1,"2","2",2,18,71,"+2.724","4924546","58","3","1:07.994","228.620",1,"Ferrari","Italian"
24368,1018,822,131,"77",3,"3","3",3,15,71,"+18.960","4940782","53","7","1:08.565","226.716",1,"Mercedes","German"
24369,1018,20,6,"5",9,"4","4",4,12,71,"+19.610","4941432","62","2","1:07.676","229.694",1,"Ferrari","Italian"
24370,1018,1,131,"44",4,"5","5",5,10,71,"+22.805","4944627","69","5","1:08.050","228.432",1,"Mercedes","German"
24371,1018,846,1,"4",5,"6","6",6,8,70,"\N","\N","69","8","1:08.699","226.274",11,"McLaren","British"
24372,1018,842,9,"10",8,"7","7",7,6,70,"\N","\N","63","9","1:08.790","225.974",11,"Red Bull","Austrian"
24373,1018,832,1,"55",19,"8","8",8,4,70,"\N","\N","53","6","1:08.117","228.207",11,"McLaren","British"
24374,1018,8,51,"7",6,"9","9",9,2,70,"\N","\N","57","15","1:09.126","224.876",11,"Alfa Romeo","Swiss"
24375,1018,841,51,"99",7,"10","10",10,1,70,"\N","\N","57","13","1:09.051","225.120",11,"Alfa Romeo","Swiss"
24381,1018,154,210,"8",11,"16","16",16,0,70,"\N","\N","56","12","1:08.987","225.329",11,"Haas F1 Team","American"
24383,1018,847,3,"63",0,"18","18",18,0,69,"\N","\N","52","19","1:09.926","222.303",12,"Williams","British"
24384,1018,825,210,"20",10,"19","19",19,0,69,"\N","\N","69","10","1:08.903","225.604",12,"Haas F1 Team","American"
24385,1018,9,3,"88",17,"20","20",20,0,68,"\N","\N","55","20","1:10.964","219.051",13,"Williams","British"
24386,1019,1,131,"44",2,"1","1",1,26,52,"1:21:08.452","4868452","52","1","1:27.369","242.735",1,"Mercedes","German"
24387,1019,822,131,"77",1,"2","2",2,18,52,"+24.928","4893380","47","2","1:27.406","242.633",1,"Mercedes","German"
24388,1019,844,6,"16",3,"3","3",3,15,52,"+30.117","4898569","47","5","1:29.313","237.452",1,"Ferrari","Italian"
24389,1019,842,9,"10",5,"4","4",4,12,52,"+34.692","4903144","48","8","1:29.544","236.839",1,"Red Bull","Austrian"
24390,1019,830,9,"33",4,"5","5",5,10,52,"+39.458","4907910","45","4","1:29.272","237.561",1,"Red Bull","Austrian"
24391,1019,832,1,"55",13,"6","6",6,8,52,"+53.639","4922091","50","11","1:29.757","236.277",1,"McLaren","British"
24393,1019,8,51,"7",12,"8","8",8,4,52,"+1:05.540","4933992","51","14","1:30.034","235.551",1,"Alfa Romeo","Swiss"
24396,1019,846,1,"4",8,"11","11",11,0,52,"+1:14.281","4942733","50","10","1:29.636","236.596",1,"McLaren","British"
24399,1019,847,3,"63",19,"14","14",14,0,51,"\N","\N","50","16","1:31.013","233.017",11,"Williams","British"
24400,1019,9,3,"88",20,"15","15",15,0,51,"\N","\N","50","17","1:31.509","231.754",11,"Williams","British"
24401,1019,20,6,"5",6,"16","16",16,0,51,"\N","\N","46","3","1:28.733","239.004",11,"Ferrari","Italian"
24403,1019,841,51,"99",11,"\N","R",18,0,18,"\N","\N","17","18","1:32.464","229.360",20,"Alfa Romeo","Swiss"
24404,1019,154,210,"8",14,"\N","R",19,0,9,"\N","\N","4","20","1:34.350","224.775",4,"Haas F1 Team","American"
24405,1019,825,210,"20",16,"\N","R",20,0,6,"\N","\N","5","19","1:33.425","227.001",4,"Haas F1 Team","American"
24406,1020,830,9,"33",2,"1","1",1,26,64,"1:44:31.275","6271275","61","1","1:16.645","214.839",1,"Red Bull","Austrian"
24407,1020,20,6,"5",20,"2","2",2,18,64,"+7.333","6278608","63","2","1:16.794","214.423",1,"Ferrari","Italian"
24410,1020,832,1,"55",7,"5","5",5,10,64,"+9.583","6280858","63","9","1:17.841","211.538",1,"McLaren","British"
24412,1020,154,210,"8",6,"7","7",7,6,64,"+16.838","6288113","55","7","1:17.746","211.797",1,"Haas F1 Team","American"
24413,1020,825,210,"20",12,"8","8",8,4,64,"+18.765","6290040","62","5","1:17.507","212.450",1,"Haas F1 Team","American"
24414,1020,1,131,"44",1,"9","9",9,2,64,"+19.667","6290942","64","12","1:18.811","208.935",1,"Mercedes","German"
24415,1020,9,3,"88",18,"10","10",10,1,64,"+24.987","6296262","63","13","1:19.062","208.271",1,"Williams","British"
24416,1020,847,3,"63",17,"11","11",11,0,64,"+26.404","6297679","60","3","1:17.485","212.510",1,"Williams","British"
24417,1020,8,51,"7",5,"12","12",12,0,64,"+42.214","6313489","60","15","1:19.563","206.960",1,"Alfa Romeo","Swiss"
24418,1020,841,51,"99",11,"13","13",13,0,64,"+43.849","6315124","60","14","1:19.300","207.646",1,"Alfa Romeo","Swiss"
24419,1020,842,9,"10",4,"14","14",14,0,61,"\N","\N","56","4","1:17.495","212.483",4,"Red Bull","Austrian"
24420,1020,822,131,"77",3,"\N","R",15,0,56,"\N","\N","54","11","1:18.272","210.374",3,"Mercedes","German"
24422,1020,844,6,"16",10,"\N","R",17,0,27,"\N","\N","17","16","1:27.697","187.764",3,"Ferrari","Italian"
24423,1020,846,1,"4",19,"\N","R",18,0,25,"\N","\N","16","18","1:31.081","180.788",75,"McLaren","British"
24426,1021,1,131,"44",3,"1","1",1,25,70,"1:35:03.796","5703796","60","2","1:18.528","200.840",1,"Mercedes","German"
24427,1021,830,9,"33",1,"2","2",2,19,70,"+17.796","5721592","69","1","1:17.103","204.552",1,"Red Bull","Austrian"
24428,1021,20,6,"5",5,"3","3",3,15,70,"+1:01.433","5765229","65","4","1:19.786","197.673",1,"Ferrari","Italian"
24429,1021,844,6,"16",4,"4","4",4,12,70,"+1:05.250","5769046","49","5","1:20.493","195.937",1,"Ferrari","Italian"
24430,1021,832,1,"55",8,"5","5",5,10,69,"\N","\N","66","10","1:21.002","194.706",11,"McLaren","British"
24431,1021,842,9,"10",6,"6","6",6,8,69,"\N","\N","65","12","1:21.045","194.602",11,"Red Bull","Austrian"
24432,1021,8,51,"7",10,"7","7",7,6,69,"\N","\N","65","9","1:20.880","195.000",11,"Alfa Romeo","Swiss"
24433,1021,822,131,"77",2,"8","8",8,4,69,"\N","\N","59","3","1:19.331","198.807",11,"Mercedes","German"
24434,1021,846,1,"4",7,"9","9",9,2,69,"\N","\N","65","13","1:21.188","194.260",11,"McLaren","British"
24438,1021,825,210,"20",14,"13","13",13,0,69,"\N","\N","67","11","1:21.008","194.691",11,"Haas F1 Team","American"
24441,1021,847,3,"63",15,"16","16",16,0,68,"\N","\N","66","17","1:22.386","191.435",12,"Williams","British"
